User Story,Task ID,Complete
item_10,6,No
item_3,8,Yes
item_15,5,No
item_2,8,No
item_14,6,No
item_12,8,Yes
item_10,11,Yes
item_15,9,No
item_4,9,No
item_14,12,No
item_11,13,No
item_5,6,No
item_11,5,No
item_11,11,No
item_9,14,Yes
item_15,10,No
item_6,14,No
item_11,14,Yes
item_11,4,Yes
item_10,13,Yes
item_9,12,No
item_1,7,Yes
item_9,3,Yes
item_8,8,Yes
item_7,15,Yes
item_13,12,No
item_12,9,No
item_15,7,Yes
item_2,15,Yes
item_13,1,No
item_8,7,No
item_15,6,No
item_12,7,Yes
item_1,3,No
item_13,15,Yes
item_15,4,No
item_9,14,No
item_5,15,Yes
item_7,6,No
item_15,2,No
item_13,12,Yes
item_13,6,Yes
item_7,14,No
item_4,11,Yes
item_5,1,Yes
item_15,15,Yes
item_9,7,No
item_9,4,No
item_6,13,Yes
item_1,2,No
item_4,3,No
item_13,8,Yes
item_5,10,Yes
item_1,15,No
item_1,12,No
item_1,8,No
item_7,6,No
item_7,14,Yes
item_14,4,Yes
item_14,1,No
item_1,13,Yes
item_6,11,Yes
item_7,1,Yes
item_6,13,Yes
item_11,7,No
item_6,5,Yes
item_8,7,Yes
item_5,5,Yes
item_9,13,Yes
item_13,9,No
item_11,9,Yes
item_3,1,Yes
item_12,11,Yes
item_11,11,Yes
item_14,12,Yes
item_15,5,No
item_11,11,Yes
item_13,7,No
item_7,8,No
item_11,7,Yes
item_11,12,No
item_6,9,Yes
item_3,3,No
item_14,9,Yes
item_1,11,Yes
item_2,8,No
item_2,14,Yes
item_10,15,No
item_13,14,No
item_8,6,Yes
item_7,11,No
item_12,8,No
item_3,6,Yes
item_14,7,No
item_15,7,No
item_5,2,No
item_9,10,No
item_13,10,Yes
item_7,1,Yes
item_8,9,Yes